Creator,Tiktok rate:,tiktok,instagram reel:,insta:,snapchat rate:,snapchat:,yt shorts,yt shorts rate:,Niche,
Matt Ilodigwe,-,https://www.tiktok.com/@matttyice5?lang=en,-,https://www.instagram.com/mattilodigwe/?hl=en,-,-,https://www.youtube.com/@mattilodigwe5,-,,
ASMR CREATORS,,,,,,,,,,
Dong asmr,"$1,500",https://www.tiktok.com/@realdongasmr,"$1,500",https://www.instagram.com/dongasmr/?hl=en,-,-,https://www.youtube.com/@DongASMR,2000-4000,ASMR,
The ASMR Outdoorsman,-,-,-,-,-,-,https://www.youtube.com/@The-ASMR-Outdoorsman/videos,$400,ASMR,
Katie ASMR,"$1,000",https://www.tiktok.com/@katieasmr00?lang=en,"$1,000",https://www.instagram.com/xokatie_asmr/reels/?hl=en,-,-,https://www.youtube.com/@ilovekatieasmr,"$1,000",ASMR,
COOKING CREATORS,,,,,,,,,,
Bigggwinter,-,-,-,https://www.instagram.com/bigggwinter/reels/?hl=en,-,-,-,-,Cooking,
Connordoescoffee,-,https://www.tiktok.com/@connordoescoffee,-,https://www.instagram.com/connordoescoffeee,-,-,https://www.youtube.com/channel/UCWOYXNIr0SlT8urn-GVWHwA,-,Coffee,
GAMING CREATORS,,,,,,,,,,
Notkenneth,$600,https://www.tiktok.com/@imnotkenneth,.,,-,-,-,-,Gaming,
Mapicc,-,-,-,-,-,-,https://www.youtube.com/@MapiccMc,"$4,000",Gaming,
Average Game Reviews,-,-,-,-,-,-,https://www.youtube.com/channel/UC-qTih01HkZdIhvw119yMwQ,"$1,300",Gaming,
Xperia,"$2,000",https://www.tiktok.com/@xperia_minecraft?lang=en,-,-,-,-,-,-,Gaming,
stony the great,-,https://www.tiktok.com/@stoney_tha_great,-,-,-,-,-,-,Gaming,
Recliner Chan,$500,https://www.tiktok.com/@reclinergaming,-,-,-,-,-,-,Gaming,
Evan Solo,"$3,000",https://www.tiktok.com/@evan.solo,-,-,-,-,-,-,Gaming,
Blissful reina,-,https://www.tiktok.com/@blissfulreina,-,-,-,-,-,-,Gaming,
ChompTV,$800,https://www.tiktok.com/@chomptv.live,-,-,-,-,https://www.youtube.com/@ChompTV,$800,Gaming,
SudoTV,-,https://www.tiktok.com/@sudoftw?lang=en,-,-,-,-,-,-,Gaming,
Eric Song,$600,https://www.tiktok.com/@ericpandasong?lang=en,-,-,-,-,-,-,Gaming,
breezy,-,https://www.tiktok.com/@_tbreeezy,-,-,-,-,-,-,Gaming,
